,Judul,Link,Teks,Media,Kategori Berita,Label
0,"Kalau Arsenal Gagal Juara Lagi, Inikah Kesalahan Terbesar Arteta?",https://sport.detik.com/sepakbola/liga-inggris/d-7738664/kalau-arsenal-gagal-juara-lagi-inikah-kesalahan-terbesar-arteta,"Arsenal saat ini masih di belakang Liverpool di persaingan juara. Jika gagal juara lagi, hal ini diyakini jadi kesalahan terbesar Mikel Arteta. Arsenal sementara tertinggal empat poin dari Liverpool di papan klasemen Liga Inggris. Jarak itu bisa melebar mengingat Liverpool punya satu laga simpanan. Bisa melibatkan diri lagi di persaingan juara untuk tiga musim beruntun sudah menjadi catatan tersendiri buat Arsenal. Tapi niscaya tak akan ada yang mengingat catatan itu jika kembali gagal juara. Terlebih kalau mereka kalah dari Liverpool yang praktis ditangani sosok tak berpengalaman di Inggris. Mantan bek Liverpool Jamie Carragher menyebut satu hal yang akan jadi kritik besar untuk Arsenal, khususnya Mikel Arteta. Itu adalah keputusan memprioritaskan transfer Mikel Merino musim panas lalu, alih-alih mendatangkan striker. Kritik soal striker ini sudah berjalan tiga musim. ""Jelas ke mana rasa frustrasinya akan mengarah kalau mereka ketinggalan. Kekhawatiran yang sudah lama dan beralasan soal kurangnya daya dobrak belum teratasi,"" tulis Carragher di Telegraph. ""Memprioritaskan perekrutan gelandang Mikel Merino ketimbang penyerang musim panas lalu tampak seperti sebuah kesalahan. Merino itu bukan sosok pengubah keadaan di pertandingan."" ""Semua yang telah kita lihat di separuh pertama musim ini memperkuat argumen di pramusim."" Arsenal masih punya kesempatan untuk mencegah itu terjadi di sisa waktu bursa transfer Januari. Merekrut penyerang yang bisa menambah daya dobrak saat ini jadi kebutuhan mendesak. ""Arsenal tak bisa memenangi titel tanpa penyerang lain. Benar begitu, bahkan sebelum Bukayo saka dan Gabriel Jesus cedera,"" sambung Carragher. ""Kalau mereka tak bereaksi sebelum akhir bulan ini, itu akan jadi sebuah kelalaian karena bersikeras dengan lini serang berisi Kai Havertz, Leandro Trossard, dan Gabriel Martinelli tidak akan menuntaskan tugas itu.""",Detik.com,Sepakbola,Liga Inggris
1,"Hojlund Masih Seret Gol, Amorim: Itu Masalah Seluruh Skuad MU",https://sport.detik.com/sepakbola/liga-inggris/d-7738637/hojlund-masih-seret-gol-amorim-itu-masalah-seluruh-skuad-mu,"Rasmus Hojlund masih seret gol di Manchester United. Ruben Amorim menegaskan masalahnya bukan ada di pemain, tapi di seluruh tim. Sudah delapan pertandingan, Hojlund puasa gol di MU. Terakhir kali dia mencatatkan namanya di papan skor saat membantu MU memetik kemenangan atas Viktoria Plzen pada 13 Desember 2024. Karena Hojlund mandul, Amorim pun ditanya pewarta mengenai situasi itu. Manajer asal Portugal itu memberi jawaban yang melegakan. ""Saya pikir ini adalah masalah tim. Anda bisa melihat itu, tak hanya saat ini, ini sejak dari lama. Jadi, kami jelas kurang gol dan kurang mengancam,"" kata Amorim di BBC. ""Saat anda mengancam lawan, maka lawan mungkin tidak menekan anda terlalu tinggi. Jadi itu berhubungan. Semua pemain mempunyai momen musim ini."" ""Saya pikir, saat kami mulai petualangan ini bersama, Rasmus adalah pemain yang selalu mencetak gol. Jadi, dia bisa kembali di pertandingan berikutnya. Kita lihat saja. Tapi, saya pikir ini lebih pada masalah tim,"" kata dia menambahkan. Di MU musim ini, Hojlund sudah mencatatkan sebanyak tujuh gol. Lima gol dikemas Hojlund di Europa League, sisanya di Liga Inggris. Hojlund membutuhkan 25 laga untuk mencatatkan gol-gol itu.",Detik.com,Sepakbola,Liga Inggris
2,"Dilibas Bournemouth, Rentetan Kemenangan Newcastle Terhenti",https://sport.detik.com/sepakbola/liga-inggris/d-7738913/dilibas-bournemouth-rentetan-kemenangan-newcastle-terhenti,"Rentetan 10 kemenangan beruntun Newcastle United di seluruh ajang selesai sudah. Ini setelah The Magpies dikalahkan Bournemouth dengan skor 1-4. Pada laga yang digelar di St James' Park, Sabtu (18/1/2025) malam WIB, gawang Newcastle yang dikawal Martin Dubravka jebol cepat pada menit keenam. Antoine Semenyo memberikan umpan tarik ke Patrick Kluivert di kotak penalti dan langsung menembak ke tiang jauh tanpa bisa dihalau Dubravka. Newcastle baru bisa menyamakan skor pada menit ke-25 lewat Bruno Guimaraes yang menanduk bola korner Lewis Hall tanpa bisa dihalau Kepa Arrizabalaga. Newcastle yang berupaya mencetak gol keduanya, malah kebobolan lagi di masa injury time babak pertama. Kluivert mencatatkan namanya lagi di papan skor setelah umpan terobosan Dango Ouattara dimaksimalkan jadi gol. Bola dengan cepat disambar Kluivert ke tiang dekat gawang Dubravka, sebelum berhasil dipotong Lewis Hall. Pada babak kedua, Bournemouth bertahan dengan baik dari serangan Newcastle dan membuat Alexander Isak di lini serang frustrasi. Beberapa kali upayanya tidak mampu menembus pertahanan Bournemouth. Yang ada gawang Newcastle malah bobol lagi di menit ke-92 saat Kluivert mencatatkan hat-trick. Sepakan melengkung Kluivert dari jarak 25 yard mengarah ke pojok bawah tanpa bisa dihalau Dubravka. Milos Kerkez menambah derita Newcastle lewat gol di menit ke-96 untuk memastikan kemenangan 4-1 timnya. Mendapat umpan pendek dari Kluivert, Kerkez menembak ke pojok atas gawang Dubravka. Newcastle harus rela catatan 10 kemenangan beruntun di seluruh ajang terhenti, setelah terakhir gagal menang kala diimbangi Liverpool 3-3 awal Desember. Saat ini Newcastle tertahan di posisi keempat Klasemen Liga Inggris dengan 38 poin dari 22 laga. Mereka rawan digeser Chelsea yang cuma berselisih satu poin di posisi kelima dan baru bermain besok. Bournemouth juga mendekatkan diri dengan empat besar dengan 37 poin di posisi keenam.",Detik.com,Sepakbola,Liga Inggris
3,"Rashford Dirumorkan Hijrah ke Barcelona, Hansi Flick Bilang Ini",https://www.detik.com/sumut/sepakbola/d-7738911/rashford-dirumorkan-hijrah-ke-barcelona-hansi-flick-bilang-ini,"Marcus Rashford kabarnya tinggal selangkah lagi menjadi pemain Barcelona. Pelatih Hansi Flick tak mau terlalu banyak menanggapi rumor tersebut dan mengaku puas dengan pemain yang ada. Sejak kedatangan Ruben Amorim ke Manchester United, Rashford mulai terpinggirkan. Terakhir kali pemain didikan akademi MU itu bermain saat The Red Devils menang 2-1 di markas Viktoria Plzen pada lanjutan Liga Europa, 12 Desember silam. Dikutip detikSport, selain Barcelona, AC Milan, Borussia Dortmund juga dikabarkan tertarik memboyong Rashford. Hanya, pemain berpaspor Inggris itu nampaknya lebih tertarik bermain di Liga Spanyol bersama Barcelona. ""Saya sering mengatakan bahwa saya gembira dengan tim saya,"" sahut Hansi Flick dilansir dari AS. ""Kami toh cuma memiliki dua pemain yang absen; Marc Bernal dan Inigo [Martinez-red]. Juga [Marc-Andre] Ter Stegen. Yang penting itu mereka semua bisa bermain lagi. Sudah pasti ini adalah pekerjaan Deco [direktur Barca-red], tapi saya senang kok dengan tim yang saya miliki,"" Flick menambahkan. Marcus Rashford masih terikat kontrak dengan Manchester United sampai 2028. Barcelona disebut-sebut sudah menggelar pembicaraan yang positif dengan agen pesepakbola berusia 27 tahun itu. Kendati demikian, sehubungan dengan situasi finansialnya Barcelona mesti melego Ansu Fati dulu sebelum bisa mendaratkan Rashford di Catalonia.",Detik.com,Sepakbola,Liga Inggris
4,Arsenal Sadar Kok Harus Sesempurna Mungkin untuk Juara,https://sport.detik.com/sepakbola/liga-inggris/d-7738598/arsenal-sadar-kok-harus-sesempurna-mungkin-untuk-juara,"Arsenal masih punya sejumlah pekerjaan rumah untuk mengakhiri penantian juara Liga Inggris. Mereka paham harus sesempurna mungkin. Arsenal untuk tiga musim beruntun sudah terlibat dalam persaingan juara. Untuk musim ini, mereka sementara bertarung dengan Liverpool dan kini tertinggal empat poin --Liverpool menyimpan satu laga di tangan. Tugas pertama The Gunners jelas mengejar Liverpool, yang mana sudah merupakan tantangan sulit. Mohamed Salah dkk baru sekali kalah musim ini meski belakangan terhambat hasil-hasil imbang, Arsenal sendiri perlu benar-benar memastikan tak kerap terpeleset. Sebagai catatan, Meriam London masih cukup angin-anginan dengan sekali menang di empat laga terakhir semua ajang. Masih ada persoalan-persoalan lainnya seperti cederanya Bukayo Saka dan Gabriel Jesus dan lini serang yang kurang gereget. Leandro Trossard memastikan ia dan timnya paham ada tantangan berat demi mengakhiri puasa juara sejak 2003/2004 silam. ""Harus sempurna tiap musimnya. Selama empat atau lima musim terakhir, persaingannya sudah amat ketat,"" ujarnya kepada Sky Sports. ""Semua orang bersaing, bukan cuma tim-tim yang di puncak, namun semua tim juga kian baik setiap musimnya, jadi tambah kompetitif."" ""Anda harus berada di permainan terbaik setiap pertandingannya. Memang sulit, tapi kami cuma perlu terus yakin dan jadi diri sendiri, baru kami bisa meraih sesuatu,"" imbuh gelandang internasional Belgia ini.  Tonton Video Comeback Arsenal Tekuk Tottenham   [Gambas:Video 20detik]",Detik.com,Sepakbola,Liga Inggris
5,"Senangnya Guardiola, Terus Dimanjakan Man City di Bursa Transfer",https://sport.detik.com/sepakbola/liga-inggris/d-7738507/senangnya-guardiola-terus-dimanjakan-man-city-di-bursa-transfer,"Bahkan setelah mengalami periode buruk, Manchester City terus unjuk kepercayaan ke Pep Guardiola. Guardiola masih disokong penuh di bursa transfer. Manchester City tengah menggarap sejumlah kesepakatan transfer dengan beberapa klub. Omar Marmoush (Eintracht Frankfurt), Abdukodir Khusanov (Lens), dan Vitor Reis (Palmeiras) saat ini ada di tahapan negosiasi yang berbeda-beda. Juara bertahan Liga Inggris itu juga sedang mengupayakan transfer Andrea Cambiaso dari Juventus. Ini sebagai langkah untuk mengantisipasi kepergian Kyle Walker. Selain mengejar sejumlah pemain baru ini, Man City juga unjuk dukungan ke Guardiola dalam bentuk lain. Mereka mengikat Erling Haaland dengan kontrak superpanjang, berdurasi 9,5 tahun yang berlaku sampai 2034 dengan nilai fantastis. Ini semua terjadi setelah Man City mengalami periode buruk, dengan hanya satu kemenangan dalam 13 laga. Dalam periode itu, yang disebut Guardiola merupakan efek krisis pemain akibat cedera, mereka menelan sembilan kekalahan. Guardiola tak bisa tidak bersyukur melihat dukungan besar dari manajemen ini. ""Mereka sudah menunjukkannya. Ketika para pemain datang, itu bukan karena saya yang memutuskan. Klublah yang membawa para pemain ke sini,"" ujarnya dikutip BBC. ""Klublah yang telah memutuskan apakah kami mengganti sejumlah pemain atau manajer atau apapun itu. Kepercayaannya sudah selalu ada."" ""Saya rasa setelah dua bulan terakhir, di lingkungan lain, saya tidak akan ada di sini, pastinya,"" imbuh Guardiola.",Detik.com,Sepakbola,Liga Inggris
6,"Dapat Kontrak Baru, Haaland Digaji Rp 16.500 per Detik!",https://sport.detik.com/sepakbola/liga-inggris/d-7738629/dapat-kontrak-baru-haaland-digaji-rp-16-500-per-detik,"Kontrak baru Erling Haaland benar-benar fantastis. Setiap detiknya, Haaland digaji Manchester City sebesar Rp 16.500 per detik! Haaland memastikan masa depan kariernya di City setelah meneken kontrak baru berdurasi 9,5 tahun! Itu artinya Haaland akan bertahan di City sampai 2034, saat berusia 34 tahun. Ini sekaligus menyudahi spekulasi masa depan Haaland yang sempat diisukan akan dibeli Real Madrid atau Barcelona, mengingat ada klausul penjualan di kontrak lamanya. Bertahannya Haaland ini juga tak lepas dari pengorbanan City yang rela merogoh kocek dalam-dalam untuk menggaji mantan pemain Borussia Dortmund tersebut. Di kontrak lamanya, Haaland mendapat 375 ribu paun per pekan atau sekitar Rp 7,4 miliar. Untuk sedekade ke depan, Haaland menerima 500 ribu paun atau sekitar Rp 10 miliar per pekannya! Itu setara dengan Rp 16.500 per detiknya. Setiap harinya Haaland akan menerima Rp 1,425 miliar, jumlah yang fantastis bukan? Jika ditotal dengan dengan bonus-bonus gol dan trofi, loyalitas, dan hak cipta, maka jumlahnya diprediksi hampir menyentuh angkat 1 juta paun per pekan atau sekitar Rp 19,9 miliar. Meski demikian, pendapatan Haaland yang kini mencapai 99 juta paun per tahun, masih kalah dibanding Cristiano Ronaldo (224 juta paun) dan Lionel Messi (105 juta paun). Rincian kontrak baru Haaland Rp 5,1 T (10 tahun)Rp 510 miliar (per tahun)Rp 42,5 miliar (per bulan)Rp 10,625 miliar (per pekan)Rp 1,425 miliar (per hari)Rp 59,4 juta (per jam)Rp 989 ribu (per menit)Rp 16.500 (per detik)  Simak Video Haaland Bisa Bela Man City Sampai Usia 34 Tahun: Super Happy!   [Gambas:Video 20detik]",Detik.com,Sepakbola,Liga Inggris
7,Reaksi Hansi Flick soal Rumor Rashford ke Barcelona,https://www.detik.com/jabar/sepakbola/d-7738553/reaksi-hansi-flick-soal-rumor-rashford-ke-barcelona,"Barcelona dikabarkan semakin dekat untuk mendapatkan Marcus Rashford dari Manchester United. Meski demikian, pelatih Barcelona, Hansi Flick, menegaskan bahwa dirinya sudah puas dengan komposisi skuad saat ini. Mengutip dari detikSport, Marcus Rashford, yang telah bergabung dengan Manchester United sejak level akademi, disebut-sebut tengah menuju pintu keluar Old Trafford. Penyerang asal Inggris itu gagal mendapatkan kepercayaan penuh dari manajer Ruben Amorim. Hingga saat ini, Rashford baru tampil dalam enam dari total 14 pertandingan yang sudah dijalani Manchester United di bawah kepemimpinan Amorim. Penampilan terakhir Rashford bersama Manchester United terjadi pada kemenangan 2-1 atas Viktoria Plzen dalam lanjutan Liga Europa pada 12 Desember lalu. Beberapa klub besar Eropa, seperti AC Milan, Borussia Dortmund, dan Barcelona, dikabarkan tertarik untuk merekrut Rashford. Namun, pemain berusia 27 tahun itu diyakini lebih memilih melanjutkan kariernya di Spanyol bersama Barcelona. Pelatih Barcelona, Hansi Flick, memilih untuk tidak terlalu terlibat dalam spekulasi terkait masa depan Rashford. ""Saya sering mengatakan bahwa saya gembira dengan tim saya,"" ujar mantan pelatih Bayern Munich dan Timnas Jerman tersebut, seperti dikutip dari AS. ""Kami hanya memiliki dua pemain yang absen saat ini, yaitu Marc Bernal dan Inigo Martinez, serta [Marc-Andre] Ter Stegen. Yang terpenting adalah mereka semua bisa segera bermain lagi. Tentu saja, ini merupakan bagian dari pekerjaan Deco [direktur olahraga Barcelona], tetapi saya sudah puas dengan tim yang saya miliki,"" tambah Flick. Marcus Rashford masih memiliki kontrak dengan Manchester United hingga 2028. Meski begitu, Barcelona dilaporkan telah melakukan pembicaraan positif dengan agen sang pemain. Namun, situasi finansial klub Catalan tersebut mengharuskan mereka untuk menjual Ansu Fati terlebih dahulu sebelum bisa merekrut Rashford ke Camp Nou.  Artikel ini telah tayang di detikSport.",Detik.com,Sepakbola,Liga Inggris
8,"Liverpool Lagi Rapuh, Slot Khawatir Gak?",https://sport.detik.com/sepakbola/liga-inggris/d-7738502/liverpool-lagi-rapuh-slot-khawatir-gak,"Liverpool menyimpan masalah di lini belakang sekalipun melaju di puncak Premier League. Apakah Arne Slot khawatir dengan hal itu? Liverpool memang masih berada di puncak klasemen Liga Inggris dengan 47 poin dari 20 laga, unggul empat angka dari Arsenal di posisi kedua yang sudah main 21 kali. Sudah 15 pekan terakhir Liverpool berada di sana dan baru sekali mereka kalah, yakni dari Nottingham Forest bulan September. Namun, selisih poin yang sempat melebar jadi sembilan poin kini terpangkas karena masalah di lini belakang. Selain cedera yang bergantian menimpan personilnya, Liverpool juga terlihat rapuh belakangan ini. Dari tujuh laga terakhir, gawang Liverpool cuma sekali clean sheet dan kebobolan 12 gol! Statistik ini tentu mengkhawatirkan mengingat Liverpool sampai pekan ke-13 terbilang tangguh dengan mengoleksi delapan clean sheet dan cuma kemasukan delapan gol. Jika hal ini tak teratasi secepatnya, bukan tak mungkin posisinya di puncak akan rawan digeser Arsenal. Terkait rapuhnya pertahanan Liverpool saat ini, Slot punya pembelaan. ""Memang jumlah clean sheet kami tidak sebanyak sebelumnya. Saya tidak ingin memusingkan itu, tapi kami pun tidak mau seperti itu karena itu adalah salah satu kekuatan kami di awal musim, banyak clean sheet. Tapi setiap saya bilang seperti itu, kami juga harus bicara soal striker atau pemain menyerang kadang kesulitan bikin gol - saya rasa begitu jika melihat seberapa banyak peluang yang kami terima dalam tujuh laga terakhir, dan juga di seluruh laga sebelumnya, tidak berbeda jauh,"" papar Slot di situs resmi klub. ""Perbedaan hanyalah dari kualitas lawan yang kami hadapi saat ini - contoh saja Forest ketika mereka punya satu tembakan tepat sasaran yang jitu dan jadi gol. Itu tidak wajar dalam sepakbola dan itu menimpa kami. United punya tiga peluang emas dan dua berujung gol. Tottenham juga kesulitan menciptakan peluang, terlepas dari saat Ali kehilangan bola dan satu peluang yang akhirnya mereka konversi jadi gol.""   Simak Video Slot: Gaya Main MU Kayak Nottingham Forest, Sulit Ditaklukkan   [Gambas:Video 20detik]",Detik.com,Sepakbola,Liga Inggris
9,Arsenal Vs Aston Villa: Misi Balas Dendam The Gunners,https://sport.detik.com/sepakbola/liga-inggris/d-7738474/arsenal-vs-aston-villa-misi-balas-dendam-the-gunners,"Arsenal kalah di kandang dari Aston Villa musim lalu. Hasil itu akan dibalas The Gunners akhir pekan ini. Arsenal akan bermain di Emirates stadium, Minggu (19/1/2025) dini hari WIB, untuk menghadapi Villa yang on fire berkat dua kemenangan beruntun. Tiga poin wajib diraih terlepas apapun hasil laga Brentford vs Liverpool beberapa jam sebelumnya. Sebab, Arsenal kini cuma berselisih empat angka dari Liverpool di puncak karena dua hasil seri beruntun yang diraih rivalnya. Sementara, Arsenal justru lebih stabil dengan empat kemenangan dan satu seri dari lima laga terakhirnya. Meski dalam kondisi pincang karena absennya Bukayo Saka dan Gabriel Jesus, Arsenal masih punya sederet pemain yang bisa memberikan dampak di lini serang. Apalagi mereka baru meraih kemenangan di laga Derby London Utara tengah pekan kemarin. Arsenal juga punya ""bahan bakar"" tambahan mengingat musim lalu mereka takluk 0-2 di markas sendiri, yang jadi salah satu rangkaian hasil buruk tim itu sehingga disalip Manchester City dalam perburuan gelar juara. Oleh karenanya, kapten Arsenal Martin Odegaard memastikan misi balas dendam akan diusung timnya demi meraih kemenangan. ""Kami harus bisa memulai rentetan kemenangan, seperti yang kami lakukan di fase yang sama musim lalu. Memang kami kecewa karena tersingkir dari Babak Ketiga Piala FA seperti musim lalu, tapi kami harus coba melihatnya dengan cara berbeda. Kami harus bisa berpikir positif,"" ujar Odegaard di situs resmi klub. ""Villa sudah lebih kuat dalam beberapa tahun terakhir dan mereka kini tampil di Liga Champions, mereka sudah berkembang pesat. Ini jadi ujian besar lainnya untuk kami, tapi kami mengalahkan mereka musim ini dan masih menyimpan sakit hati usai kekalahan dari mereka di sini (Emirates) musim lalu. Kami ingin membalasnya dan membuktikan bahwa kami sudah belajar. Kami harus siap dan pastikan bisa menang kali ini.""",Detik.com,Sepakbola,Liga Inggris
